Edition Name,Edition Code,Pokemon Name,Pokemon ID,ReverseHolo,Rarity
151,MEW,,001,Yes,
151,MEW,,002,Yes,
151,MEW,,003,Any,Double Rare
151,MEW,,004,Yes,
151,MEW,,005,Yes,
151,MEW,,006,Any,Double Rare
151,MEW,,007,Yes,
151,MEW,,008,Yes,
151,MEW,,009,Any,Double Rare
151,MEW,,010,Yes,
151,MEW,,011,Yes,
151,MEW,,012,Yes,
151,MEW,,013,Yes,
151,MEW,,014,Yes,
151,MEW,,015,Yes,
151,MEW,,016,Yes,
151,MEW,,017,Yes,
151,MEW,,018,Yes,
151,MEW,,019,Yes,
151,MEW,,020,Yes,
151,MEW,,021,Yes,
151,MEW,,022,Yes,
151,MEW,,023,Yes,
151,MEW,,024,Any,Double Rare
151,MEW,,025,Yes,
151,MEW,,026,Yes,
151,MEW,,027,Yes,
151,MEW,,028,Yes,
151,MEW,,029,Yes,
151,MEW,,030,Yes,
151,MEW,,031,Yes,
151,MEW,,032,Yes,
151,MEW,,033,Yes,
151,MEW,,034,Yes,
151,MEW,,035,Yes,
151,MEW,,036,Yes,
151,MEW,,037,Yes,
151,MEW,,038,Any,Double Rare
151,MEW,,039,Yes,
151,MEW,,040,Any,Double Rare
151,MEW,,041,Yes,
151,MEW,,042,Yes,
151,MEW,,043,Yes,
151,MEW,,044,Yes,
151,MEW,,045,Yes,
151,MEW,,046,Yes,
151,MEW,,047,Yes,
151,MEW,,048,Yes,
151,MEW,,049,Yes,
151,MEW,,050,Yes,
151,MEW,,051,Yes,
151,MEW,,052,Yes,
151,MEW,,053,Yes,
151,MEW,,054,Yes,
151,MEW,,055,Yes,
151,MEW,,056,Yes,
151,MEW,,057,Yes,
151,MEW,,058,Yes,
151,MEW,,059,Yes,
151,MEW,,060,Yes,
151,MEW,,061,Yes,
151,MEW,,062,Yes,
151,MEW,,063,Yes,
151,MEW,,064,Yes,
151,MEW,,065,Any,Double Rare
151,MEW,,066,Yes,
151,MEW,,067,Yes,
151,MEW,,068,Yes,
151,MEW,,069,Yes,
151,MEW,,070,Yes,
151,MEW,,071,Yes,
151,MEW,,072,Yes,
151,MEW,,073,Yes,
151,MEW,,074,Yes,
151,MEW,,075,Yes,
151,MEW,,076,Any,Double Rare
151,MEW,,077,Yes,
151,MEW,,078,Yes,
151,MEW,,079,Yes,
151,MEW,,080,Yes,
151,MEW,,081,Yes,
151,MEW,,082,Yes,
151,MEW,,083,Yes,
151,MEW,,084,Yes,
151,MEW,,085,Yes,
151,MEW,,086,Yes,
151,MEW,,087,Yes,
151,MEW,,088,Yes,
151,MEW,,089,Yes,
151,MEW,,090,Yes,
151,MEW,,091,Yes,
151,MEW,,092,Yes,
151,MEW,,093,Yes,
151,MEW,,094,Yes,
151,MEW,,095,Yes,
151,MEW,,096,Yes,
151,MEW,,097,Yes,
151,MEW,,098,Yes,
151,MEW,,099,Yes,
151,MEW,,100,Yes,
